fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
dcf161082c849205,Chris Gutierrez,45f0cc9d18f35137,Cody Durden,7f6ed67d3ed3c036,Draw,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
16a05f3c4a765f65,Mitch Gagnon,b8592b4a383696cd,Cole Smith,56709e66f1c6008f,Cole Smith,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"May 04, 2019","Ottawa, Ontario, Canada"
e4bbec619aa04dea,Talita Bernardo,5b2325cd70dbe2ea,Viviane Araujo,36541f1e6c5d4955,Viviane Araujo,KO/TKO,3,0:48,3 Rnd (5-5-5),Women's Bantamweight Bout,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil"
115fa6f5f3e51bbb,Julio Arce,1291edf2d566a71a,Julian Erosa,902ec2cc48c8ae8a,Julio Arce,KO/TKO,3,1:49,3 Rnd (5-5-5),Featherweight Bout,"May 18, 2019","Rochester, New York, USA"
a4e210bcdcc1bf5b,Joel Alvarez,58bbef3770bb2dfc,Danilo Belluardo,c3f6db17cea09ca7,Joel Alvarez,KO/TKO,2,2:22,3 Rnd (5-5-5),Lightweight Bout,"June 01, 2019","Stockholm, Sweden"
82eb6fa58ae52428,Katlyn Chookagian,e872e9a9a902c045,Joanne Calderwood,12f91bfa8f1f723b,Katlyn Chookagian,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"June 08, 2019","Chicago, Illinois, USA"
f81f8cfe30e0a1e9,Deron Winn,483a953b18d73bb3,Eric Spicely,b9664eae2ac75262,Deron Winn,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"June 22, 2019","Greenville, South Carolina, USA"
9ba051e0f5674108,Maurice Greene,068f8a189a47fea6,Junior Albini,c482c8605455a213,Maurice Greene,KO/TKO,1,3:38,3 Rnd (5-5-5),Heavyweight Bout,"June 29, 2019","Minneapolis, Minnesota, USA"
934b44ddcb3d95e6,Julia Avila,86d9dbe1bfcbade7,Pannie Kianzad,91dac5e69e28d5b5,Julia Avila,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"July 06, 2019","Las Vegas, Nevada, USA"
358468724d7d4322,Benito Lopez,773f7feacf96153e,Vince Morales,37098a6e6c27fb66,Benito Lopez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 13, 2019","Sacramento, California, USA"
c5259566abc552b1,Domingo Pilarte,4bf6b225ff6099c4,Felipe Colares,dbac0a413af64bbe,Felipe Colares,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 20, 2019","San Antonio, Texas, USA"
d47fd8fc3886f86c,Erik Koch,99bd87a300079ed9,Kyle Stewart,bb61823f76361297,Erik Koch,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"July 27, 2019","Edmonton, Alberta, Canada"
94560d1dc6248347,Miranda Granger,7559395ad833c074,Hannah Goldy,26e3f3928b1891d9,Miranda Granger,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"August 03, 2019","Newark, New Jersey, USA"
494042bf96730bc0,Veronica Macedo,4798e823ada58fe9,Polyana Viana,9673a497a9da119a,Veronica Macedo,Submission,1,1:09,3 Rnd (5-5-5),Women's Flyweight Bout,"August 10, 2019","Montevideo, Uruguay"
51f955029dbf6978,Sabina Mazo,70d2329a92864fdb,Shana Dobson,122ac9b816d8b71c,Sabina Mazo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"August 17, 2019","Anaheim, California, USA"
a072be4f806d360f,Karol Rosa,351c4ec637380ad5,Lara Procopio,e99821959a840bb8,Karol Rosa,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"August 31, 2019","Shenzhen, Guangdong, China"
567a09fd200cfa05,Gerard Gordeau,279093302a6f44b3,Teila Tuli,96eff1a628adcc7f,Gerard Gordeau,KO/TKO,1,0:26,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
2d2bbc86e941e05c,Kevin Rosier,598a58db87b890ee,Zane Frazier,d3711d3784b76255,Kevin Rosier,KO/TKO,1,4:20,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
cecdc0da584274b9,Royce Gracie,429e7d3725852ce9,Art Jimmerson,a5c53b3ddb31cc7d,Royce Gracie,Submission,1,2:18,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
46acd54cc0c905fb,Ken Shamrock,63b65af1c5cb02cb,Patrick Smith,46c8ec317aff28ac,Ken Shamrock,Submission,1,1:49,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ac7ca2ec38b96c1a,Gerard Gordeau,279093302a6f44b3,Kevin Rosier,598a58db87b890ee,Gerard Gordeau,KO/TKO,1,0:59,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ffd16691c4c4aafc,Royce Gracie,429e7d3725852ce9,Ken Shamrock,63b65af1c5cb02cb,Royce Gracie,Submission,1,0:57,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
00b0796724ec1c09,Jason DeLucia,6ceff86fae4f6b3b,Trent Jenkins,02fc8f50f56eb307,Jason DeLucia,Submission,1,0:52,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
64139d1d505e46c5,Royce Gracie,429e7d3725852ce9,Gerard Gordeau,279093302a6f44b3,Royce Gracie,Submission,1,1:44,No Time Limit,UFC 1 Tournament Title Bout,"November 12, 1993","Denver, Colorado, USA"
2e001d8c2f6106fc,Heili Alateng,1897b7b913736a7c,Danaa Batgerel,3b0a516d2921e0d6,Heili Alateng,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"August 31, 2019","Shenzhen, Guangdong, China"
060dfbc982c6c4ef,Damir Ismagulov,135d124172a0bea3,Thiago Moises,d945aae53e3e54e6,Damir Ismagulov,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"August 31, 2019","Shenzhen, Guangdong, China"
5ff390f7bbf2bec8,Da-Un Jung,74f9448b97bf8bec,Khadis Ibragimov,c3218c810959d279,Da-Un Jung,Submission,3,1:59,3 Rnd (5-5-5),Light Heavyweight Bout,"August 31, 2019","Shenzhen, Guangdong, China"
